Timestamp,X,Y,Z
2025-05-14T12:48:34.118Z,-1.3,-3.33,11.71
2025-05-14T12:48:34.148Z,-3.8,1.39,11.16
2025-05-14T12:48:34.182Z,-2.88,2.73,9.32
2025-05-14T12:48:34.216Z,-4.39,3.09,12.57
2025-05-14T12:48:34.249Z,-9.66,-1.07,13.89
2025-05-14T12:48:34.282Z,-11.27,0.41,13.55
2025-05-14T12:48:34.315Z,-17.58,-1.26,12.68
2025-05-14T12:48:34.347Z,-15.79,-5.36,5.86
2025-05-14T12:48:34.381Z,-16.36,-3.51,-5.92
2025-05-14T12:48:34.416Z,-12.6,1.71,3.26
2025-05-14T12:48:34.447Z,4.3,4.94,11.69
2025-05-14T12:48:34.480Z,-8.95,-1.76,16
2025-05-14T12:48:34.514Z,-8.37,-9.03,19.61
2025-05-14T12:48:34.547Z,-2.99,2.33,12.9
2025-05-14T12:48:34.580Z,-3.5,1.02,11.05
2025-05-14T12:48:34.615Z,-2.69,1.65,9.53
2025-05-14T12:48:34.648Z,-2.67,1.41,9.56
2025-05-14T12:48:34.681Z,-2.72,0.96,9.65
2025-05-14T12:48:34.715Z,-2.66,1.43,9.22
2025-05-14T12:48:34.746Z,-2.44,1.66,9.01
2025-05-14T12:48:34.779Z,-2.41,1.45,9.1
2025-05-14T12:48:34.813Z,-2.51,1.44,9.05
2025-05-14T12:48:34.847Z,-2.48,1.66,9.01
2025-05-14T12:48:34.880Z,-2.5,1.64,9.04
2025-05-14T12:48:34.915Z,-2.62,1.3,9.33
2025-05-14T12:48:34.945Z,-2.58,0.94,9.33
2025-05-14T12:48:34.977Z,-2.57,1.14,9.23
2025-05-14T12:48:35.010Z,-2.62,1.36,9.47
2025-05-14T12:48:35.044Z,-2.4,1.28,9.39
2025-05-14T12:48:35.077Z,-2.86,0.9,9.5
2025-05-14T12:48:35.111Z,-1.14,0.34,9.69
2025-05-14T12:48:35.144Z,-1.76,2.21,9.49
2025-05-14T12:48:35.177Z,-2.11,2.41,8.99
2025-05-14T12:48:35.211Z,-2.26,2.76,8.58
2025-05-14T12:48:35.244Z,-12.69,6.19,14.02
2025-05-14T12:48:35.278Z,-10.37,4.22,14.14
2025-05-14T12:48:35.311Z,-4.37,1.75,7.93
2025-05-14T12:48:35.345Z,2.17,5.23,11.26
2025-05-14T12:48:35.380Z,-0.42,5.62,10.38
2025-05-14T12:48:35.412Z,-1.38,6.55,8.6
2025-05-14T12:48:35.444Z,-2.05,2.94,7.68
2025-05-14T12:48:35.476Z,-3.13,2.02,8.56
2025-05-14T12:48:35.512Z,-5.45,3.33,10.41
2025-05-14T12:48:35.543Z,-5.95,5.56,10.43
2025-05-14T12:48:35.578Z,-6.45,5.22,11.53
2025-05-14T12:48:35.611Z,-10.28,5.37,12.68
2025-05-14T12:48:35.646Z,-15.12,4.45,17.52
2025-05-14T12:48:35.678Z,-18.12,0.11,7.92
2025-05-14T12:48:35.712Z,-18.06,-0.06,3.33
2025-05-14T12:48:35.743Z,-19.09,-3.44,-4.56
2025-05-14T12:48:35.775Z,-18.12,-14.94,-6.09
2025-05-14T12:48:35.809Z,3.55,7.27,13.63
2025-05-14T12:48:35.843Z,-9.72,-0.02,11.95
2025-05-14T12:48:35.876Z,-9.35,11.23,17.97
2025-05-14T12:48:35.911Z,-1.95,-0.7,10.24
2025-05-14T12:48:35.943Z,-2.89,2.35,11.34
2025-05-14T12:48:35.977Z,-2.67,2.79,9.36
2025-05-14T12:48:36.009Z,-2.57,1.85,9.28
2025-05-14T12:48:36.044Z,-2.5,1.24,9.55
2025-05-14T12:48:36.076Z,-2.51,1.69,9.14
2025-05-14T12:48:36.111Z,-2.34,2.17,9.05
2025-05-14T12:48:36.144Z,-2.51,1.61,9.19
2025-05-14T12:48:36.175Z,-2.45,1.47,8.95
2025-05-14T12:48:36.208Z,-2.61,1.98,9.02
2025-05-14T12:48:36.241Z,-2.37,1.79,8.8
2025-05-14T12:48:36.274Z,-2.46,1.97,8.87
2025-05-14T12:48:36.308Z,-2.55,2.07,8.68
2025-05-14T12:48:36.342Z,-2.88,0.11,9.67
2025-05-14T12:48:36.374Z,-2.48,0.39,9.49
2025-05-14T12:48:36.407Z,-2.47,0.98,9.35
2025-05-14T12:48:36.443Z,-2.38,1.47,9.35
2025-05-14T12:48:36.476Z,-2.52,1.16,9.34
2025-05-14T12:48:36.509Z,-2.01,1.66,9.69
